,Model,FaroeseSTS,FinParaSTS,GermanSTSBenchmark,IndicCrosslingualSTS,JSICK,SICK-R,STS12,STS13,STS14,STS15,STS17,STS22.v2,STSB,STSBenchmark,STSES,SemRel24STS
32,text-embedding-3-large,74.95941443294787,23.505001009883802,84.24308106781443,12.593334632315248,81.2385607766652,79.00399379000001,72.83588741,86.09681753000001,81.15012257000001,88.48536071999999,90.22225266,69.29491666150666,80.24660879533194,83.56231247,74.19960979146538,65.24806518504508
33,voyage-large-2-instruct,73.50710000000001,17.5537,84.0449,6.88005,81.27459999999999,81.92150000000001,73.33804727079534,84.9568,82.6724,87.6434,74.88503636363636,70.29587777777778,80.55449999999999,87.5854,78.82010000000001,56.074925
34,gte-Qwen1.5-7B-instruct,67.6476,25.3549,80.9884,23.876891666666666,70.7808,79.14737320486729,76.52287451692155,88.62720469210905,83.32346434965837,87.50432670473445,87.78994504115502,68.79782222222222,81.369375466486,87.35031011815016,72.5065,55.27935000000001
35,bge-m3,77.80087894521951,30.43132878240811,82.11890464850575,52.130850858700164,79.21412178476996,79.71643426941272,78.73342460860246,79.59845218249569,79.00172058630167,87.81467178456492,79.64601701719772,70.0272009463895,81.8995399726979,84.86928980149938,77.50423747965199,65.38084262632566
36,KaLM-embedding-multilingual-mini-v1,70.3541,18.5411,81.32034999999999,18.576008333333334,81.6292,79.92986896006748,76.66847347731301,84.86841413445535,80.10636060670153,88.69670049389599,75.2336915140176,70.02722777777778,79.32633637626917,86.06896054399277,78.23750000000001,63.90488333333334
37,NV-Embed-v1,68.45219999999999,20.36975,76.75975,13.455675,78.6911,82.80375234068289,76.22474792649982,86.30355131725051,82.09196894621044,87.24083005603993,87.41531216247836,62.51442222222222,74.1869,86.13895001731495,76.77629999999999,56.85314166666667
38,speed-embedding-7b-instruct,51.5356,3.193,66.9775,-4.807316666666667,76.4772,82.46041161692649,80.15194914870666,89.94300436293618,86.23848649310362,91.19520084590636,91.93416269793802,55.871950000000005,67.24194999999999,89.20507562822989,69.3728,50.832908333333336
39,jina-embeddings-v4,72.2847,15.052999999999999,,35.22987500000001,80.3327,89.2287,83.5043,88.60820000000001,84.7675,89.69200000000001,84.94705454545456,71.76313333333333,,88.5762,75.3104,56.46376666666667
40,text2vec-base-multilingual,63.7119,22.29405,84.2214,19.44315,78.8452,79.97373018384307,80.91314664846955,82.86479010707745,87.36399473803172,88.31438033558268,79.84178599073626,58.483372222222215,80.00655,86.44881302053585,68.87140000000001,47.552325
41,KaLM-embedding-multilingual-mini-instruct-v1,69.0652,20.972350000000002,80.03085000000002,23.075516666666665,81.0265,79.63245426461405,81.49535893255212,84.49255715794354,80.05601661201852,86.54345663501209,71.97270233473083,70.41453888888888,78.136597096582,84.2970803211202,76.6854,60.669000000000004
